crossover_proportion,crossover_edges,mutation_prob,elitism_proportion,repeat,seed,best_score,n_nodes,n_edges,in_degree_max,out_degree_max,elapsed_sec,error
0.2,1,1.0,0.1,1,20304,,,,,,54.42917151097208,"float() argument must be a string or a real number, not 'list'"
0.2,1,0.9,0.3,2,13959,,,,,,54.584633321966976,"float() argument must be a string or a real number, not 'list'"
0.2,2,0.9,0.5,0,14249,,,,,,53.69554545916617,"float() argument must be a string or a real number, not 'list'"
0.2,2,0.9,0.5,1,14250,,,,,,54.01617952995002,"float() argument must be a string or a real number, not 'list'"
0.2,2,0.6,0.4,0,14757,,,,,,54.926057963166386,"float() argument must be a string or a real number, not 'list'"
0.2,1,0.9,0.4,1,18424,,,,,,55.5589591357857,"float() argument must be a string or a real number, not 'list'"
0.2,1,0.8,0.1,1,15267,,,,,,55.87037818739191,"float() argument must be a string or a real number, not 'list'"
0.2,3,0.8,0.3,0,17445,,,,,,54.513445595279336,"float() argument must be a string or a real number, not 'list'"
0.2,1,1.0,0.2,0,13814,,,,,,56.549373768270016,"float() argument must be a string or a real number, not 'list'"
0.2,1,0.8,0.2,1,18778,,,,,,57.09552686102688,"float() argument must be a string or a real number, not 'list'"
0.2,1,0.8,0.3,0,19511,,,,,,57.3654746171087,"float() argument must be a string or a real number, not 'list'"
0.2,2,0.9,0.3,1,12387,,,,,,56.82198938401416,"float() argument must be a string or a real number, not 'list'"
0.2,3,0.6,0.2,1,15062,,,,,,56.535411251243204,"float() argument must be a string or a real number, not 'list'"
0.2,1,0.6,0.4,1,22328,,,,,,58.31132732704282,"float() argument must be a string or a real number, not 'list'"
0.2,1,0.7,0.3,0,15644,,,,,,58.45429987506941,"float() argument must be a string or a real number, not 'list'"
0.2,1,1.0,0.4,1,12503,,,,,,58.92108402121812,"float() argument must be a string or a real number, not 'list'"
0.2,1,1.0,0.3,0,16164,,,,,,59.03343638591468,"float() argument must be a string or a real number, not 'list'"
0.2,1,0.8,0.3,1,19512,,,,,,59.46575565682724,"float() argument must be a string or a real number, not 'list'"
0.2,1,0.8,0.4,1,18769,,,,,,59.76420578826219,"float() argument must be a string or a real number, not 'list'"
0.2,1,0.6,0.3,1,21199,,,,,,60.458384634926915,"float() argument must be a string or a real number, not 'list'"
0.2,2,1.0,0.1,2,20606,,,,,,60.41281460924074,"float() argument must be a string or a real number, not 'list'"
0.2,1,1.0,0.3,2,16166,,,,,,61.657326159998775,"float() argument must be a string or a real number, not 'list'"
0.2,2,1.0,0.3,2,16467,,,,,,60.81260773912072,"float() argument must be a string or a real number, not 'list'"
0.2,2,0.8,0.5,2,19805,,,,,,61.3799296868965,"float() argument must be a string or a real number, not 'list'"
0.2,2,0.8,0.1,1,16871,,,,,,62.12010526191443,"float() argument must be a string or a real number, not 'list'"
0.2,3,0.7,0.5,1,15442,,,,,,61.578570413868874,"float() argument must be a string or a real number, not 'list'"
0.2,2,0.8,0.1,2,16872,,,,,,63.16888565896079,"float() argument must be a string or a real number, not 'list'"
0.2,2,0.7,0.5,0,15936,,,,,,63.48753644293174,"float() argument must be a string or a real number, not 'list'"
0.2,1,0.7,0.1,0,21399,,,,,,65.33670769492164,"float() argument must be a string or a real number, not 'list'"
0.2,2,0.9,0.4,0,17516,,,,,,65.19167425017804,"float() argument must be a string or a real number, not 'list'"
0.2,2,0.7,0.4,1,19204,,,,,,65.83104174491018,"float() argument must be a string or a real number, not 'list'"
0.2,1,0.9,0.1,0,19712,,,,,,67.16157421609387,"float() argument must be a string or a real number, not 'list'"
0.2,1,1.0,0.2,1,13815,,,,,,67.79497202066705,"float() argument must be a string or a real number, not 'list'"
0.2,3,0.7,0.2,0,14716,,,,,,66.60574009781703,"float() argument must be a string or a real number, not 'list'"
0.2,2,0.8,0.3,2,17942,,,,,,68.21130178496242,"float() argument must be a string or a real number, not 'list'"
0.2,2,0.7,0.4,2,19205,,,,,,68.8435086752288,"float() argument must be a string or a real number, not 'list'"
0.2,2,0.8,0.3,0,17940,,,,,,68.93320847628638,"float() argument must be a string or a real number, not 'list'"
0.2,2,0.7,0.3,1,17562,,,,,,69.67128075193614,"float() argument must be a string or a real number, not 'list'"
0.2,3,0.6,0.5,2,15788,,,,,,69.26164494501427,"float() argument must be a string or a real number, not 'list'"
0.2,2,1.0,0.5,0,14840,,,,,,70.0514169470407,"float() argument must be a string or a real number, not 'list'"
0.2,1,1.0,0.1,0,20303,,,,,,72.40065967384726,"float() argument must be a string or a real number, not 'list'"
0.2,2,0.6,0.5,2,21492,,,,,,74.3634510198608,"float() argument must be a string or a real number, not 'list'"
0.2,2,0.7,0.5,2,15938,,,,,,74.3744165818207,"float() argument must be a string or a real number, not 'list'"
0.2,3,0.8,0.4,2,14193,,,,,,39.55121484771371,"float() argument must be a string or a real number, not 'list'"
0.2,3,0.8,0.5,0,17436,,,,,,38.27254056138918,"float() argument must be a string or a real number, not 'list'"
0.2,2,0.7,0.3,0,17561,,,,,,75.60615415358916,"float() argument must be a string or a real number, not 'list'"
0.2,3,0.9,0.5,1,13755,,,,,,34.15659124404192,"float() argument must be a string or a real number, not 'list'"
0.2,3,0.9,0.5,0,13754,,,,,,34.39703143108636,"float() argument must be a string or a real number, not 'list'"
0.2,3,0.9,0.5,2,13756,,,,,,34.54173014499247,"float() argument must be a string or a real number, not 'list'"
0.2,3,0.9,0.1,0,17646,,,,,,38.516898333095014,"float() argument must be a string or a real number, not 'list'"
0.2,3,1.0,0.5,1,14346,,,,,,33.29767449200153,"float() argument must be a string or a real number, not 'list'"
0.2,3,0.8,0.5,1,17437,,,,,,39.95138299418613,"float() argument must be a string or a real number, not 'list'"
0.2,3,1.0,0.4,2,19230,,,,,,34.21648509288207,"float() argument must be a string or a real number, not 'list'"
0.2,3,0.9,0.2,0,13029,,,,,,39.105529581196606,"float() argument must be a string or a real number, not 'list'"
0.2,3,1.0,0.3,0,15970,,,,,,35.46084286272526,"float() argument must be a string or a real number, not 'list'"
0.2,3,1.0,0.2,2,15238,,,,,,36.23339002113789,"float() argument must be a string or a real number, not 'list'"
0.2,3,0.8,0.5,2,17438,,,,,,40.87848780723289,"float() argument must be a string or a real number, not 'list'"
0.2,3,0.9,0.1,2,17648,,,,,,40.743910069111735,"float() argument must be a string or a real number, not 'list'"
0.2,4,0.6,0.1,2,13032,,,,,,35.13524919189513,"float() argument must be a string or a real number, not 'list'"
0.2,4,0.6,0.3,1,16803,,,,,,33.94886502297595,"float() argument must be a string or a real number, not 'list'"
0.2,2,0.8,0.1,0,16870,,,,,,79.73625882808119,"float() argument must be a string or a real number, not 'list'"
0.2,2,0.8,0.2,0,19078,,,,,,79.68960656691343,"float() argument must be a string or a real number, not 'list'"
0.2,3,0.9,0.1,1,17647,,,,,,41.216539222281426,"float() argument must be a string or a real number, not 'list'"
0.2,3,1.0,0.2,0,15236,,,,,,37.456934733781964,"float() argument must be a string or a real number, not 'list'"
0.2,3,0.9,0.3,1,21892,,,,,,39.49670815933496,"float() argument must be a string or a real number, not 'list'"
0.2,4,0.6,0.2,0,20069,,,,,,35.65658713085577,"float() argument must be a string or a real number, not 'list'"
0.2,4,0.6,0.5,1,15178,,,,,,33.10594280110672,"float() argument must be a string or a real number, not 'list'"
0.2,3,0.9,0.3,2,21893,,,,,,39.82552113896236,"float() argument must be a string or a real number, not 'list'"
0.2,3,1.0,0.2,1,15237,,,,,,38.13914103107527,"float() argument must be a string or a real number, not 'list'"
0.2,3,0.9,0.4,2,18639,,,,,,39.7286659097299,"float() argument must be a string or a real number, not 'list'"
0.2,3,1.0,0.3,2,15972,,,,,,38.27132766181603,"float() argument must be a string or a real number, not 'list'"
