file_id,learned_colliders,correct_scs,missing_scs,extra_scs,correct_pws,missing_pws,extra_pws,jaccard_edges,i,total_vars,dag_family,p_syn,p_noise,samples
107,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,107,10,er,0.0,0.3,2000
108,0.9,1.0,1.0,1.0,0.9,0.8,1.0,0.9333333333333333,108,10,er,0.0,0.3,5000
109,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,109,10,er,0.0,0.3,10000
110,0.8,1.0,1.0,1.0,0.8,0.9,0.8,0.88,110,10,er,0.0,0.4,500
111,0.35555555555555557,1.0,1.0,0.8,0.35555555555555557,0.45555555555555555,1.0,0.6925925925925925,111,10,er,0.0,0.4,1000
112,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,112,10,er,0.0,0.4,2000
113,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,113,10,er,0.0,0.4,5000
114,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,114,10,er,0.0,0.4,10000
115,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,115,10,er,0.0,0.5,500
116,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,116,10,er,0.0,0.5,1000
117,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,117,10,er,0.0,0.5,2000
118,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,118,10,er,0.0,0.5,5000
119,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,119,10,er,0.0,0.5,10000
120,0.6222222222222222,0.8,0.8,1.0,0.5333333333333333,0.5333333333333333,0.8,0.6861832938303526,120,10,er,0.5,0.0,500
121,0.5999999999999999,1.0,1.0,1.0,0.4444444444444444,0.4444444444444444,0.5333333333333333,0.7044560377893712,121,10,er,0.5,0.0,1000
122,0.9,0.8,0.8,1.0,1.0,1.0,1.0,0.9200000000000002,122,10,er,0.5,0.0,2000
123,0.5333333333333332,0.8,0.8,1.0,0.4666666666666667,0.4666666666666667,0.5333333333333333,0.7039659755449229,123,10,er,0.5,0.0,5000
124,0.8222222222222222,1.0,1.0,1.0,0.6444444444444445,0.6444444444444445,1.0,0.8814814814814813,124,10,er,0.5,0.0,10000
125,0.6296296296296297,1.0,1.0,1.0,0.4666666666666667,0.4666666666666667,0.6222222222222222,0.8019373219373218,125,10,er,0.5,0.1,500
126,0.7629629629629628,1.0,1.0,1.0,0.6444444444444445,0.6444444444444445,0.6444444444444445,0.9209876543209877,126,10,er,0.5,0.1,1000
127,0.4703703703703703,0.8,0.8,1.0,0.4666666666666667,0.4666666666666667,0.4888888888888889,0.6380414647081314,127,10,er,0.5,0.1,2000
128,0.8222222222222222,1.0,1.0,1.0,0.6444444444444445,0.6444444444444445,1.0,0.831072631072631,128,10,er,0.5,0.1,5000
129,0.5333333333333332,0.8,0.8,1.0,0.4666666666666667,0.4666666666666667,0.4888888888888889,0.7120210653543986,129,10,er,0.5,0.1,10000
130,0.6777777777777777,1.0,1.0,1.0,0.4666666666666667,0.4666666666666667,0.8,0.7353520553520554,130,10,er,0.5,0.2,500
131,0.8222222222222222,1.0,1.0,1.0,0.6444444444444445,0.6444444444444445,1.0,0.8814814814814814,131,10,er,0.5,0.2,1000
132,0.7333333333333333,1.0,1.0,1.0,0.4666666666666667,0.4666666666666667,1.0,0.7999999999999998,132,10,er,0.5,0.2,2000
133,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,133,10,er,0.5,0.2,5000
134,0.5648148148148149,1.0,1.0,1.0,0.5333333333333333,0.5333333333333333,0.5111111111111111,0.6223159556492888,134,10,er,0.5,0.2,10000
135,0.9,1.0,1.0,1.0,0.8,0.8,1.0,0.9333333333333331,135,10,er,0.5,0.3,500
136,0.9,1.0,1.0,1.0,0.8,0.8,1.0,0.9333333333333331,136,10,er,0.5,0.3,1000
137,0.9,1.0,1.0,1.0,0.8,0.8,1.0,0.9333333333333331,137,10,er,0.5,0.3,2000
138,0.6277777777777778,1.0,1.0,1.0,0.5333333333333333,0.5333333333333333,0.43333333333333335,0.7382158582158583,138,10,er,0.5,0.3,5000
139,0.7111111111111111,0.8,0.8,1.0,0.6444444444444445,0.6444444444444445,1.0,0.8419753086419752,139,10,er,0.5,0.3,10000
140,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,140,10,er,0.5,0.4,500
141,0.7666666666666667,1.0,1.0,1.0,0.5333333333333333,0.5333333333333333,1.0,0.8444444444444443,141,10,er,0.5,0.4,1000
142,0.7703703703703705,0.8,0.8,0.8,0.8,0.8,1.0,0.8375661375661374,142,10,er,0.5,0.4,2000
143,0.9,1.0,1.0,1.0,0.8,0.8,1.0,0.942857142857143,143,10,er,0.5,0.4,5000
144,0.7666666666666667,1.0,1.0,1.0,0.5333333333333333,0.5333333333333333,1.0,0.8444444444444443,144,10,er,0.5,0.4,10000
145,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,145,10,er,0.5,0.5,500
146,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,146,10,er,0.5,0.5,1000
147,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,147,10,er,0.5,0.5,2000
148,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,148,10,er,0.5,0.5,5000
149,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,149,10,er,0.5,0.5,10000
150,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,150,10,er,1.0,0.0,500
