crossover_proportion,crossover_edges,mutation_prob,elitism_proportion,repeat,seed,best_score,elapsed_sec,error
0.2,4,1.0,0.4,0,14712,-77964.65095660916,39.8514303220436,
0.2,5,0.9,0.1,1,14632,-75294.00651925261,35.266574094071984,
0.2,4,1.0,0.3,1,15200,-78227.10223932416,40.102344517130405,
0.2,5,0.7,0.2,0,14403,-80191.41090868294,37.37228588107973,
0.2,5,0.7,0.5,0,15128,-80756.65644855375,36.72245218092576,
0.2,5,0.7,0.3,1,15138,-82434.31112772692,37.29376411717385,
0.2,5,0.6,0.2,1,19232,-74740.32343583296,39.489397899247706,
0.2,5,0.8,0.2,1,18271,-77371.1899462977,36.46171067003161,
0.3,1,0.6,0.5,0,16135,-78917.23921307526,34.0208297483623,
0.2,5,0.9,0.5,1,21570,-80225.89619156322,35.454590450040996,
0.2,5,0.7,0.2,1,14404,-82025.31191664274,38.022096069995314,
0.3,1,0.7,0.3,1,19188,-80334.12464382108,34.13669336680323,
0.2,5,0.8,0.5,0,17123,-79193.28420762274,36.762409657239914,
0.2,5,1.0,0.4,1,21804,-76765.16307797965,35.485116162803024,
0.2,5,0.9,0.4,1,12708,-81226.84869982277,36.236343678086996,
0.2,5,1.0,0.5,0,14153,-83282.70456029556,35.47468564612791,
0.2,5,0.8,0.2,0,18270,-76638.11523890326,37.38319815369323,
0.3,1,0.6,0.3,0,22143,-80204.15585352213,35.211405638139695,
0.2,5,1.0,0.3,0,15465,-78297.97223541704,35.913104861043394,
0.2,5,0.8,0.3,1,17133,-79116.51979220277,37.10503349779174,
0.3,1,0.6,0.1,0,18371,-82674.06312793365,35.621604088228196,
0.2,5,0.9,0.3,1,21579,-76645.90576857001,36.68468676134944,
0.2,5,0.8,0.1,1,13361,-78358.94636645011,37.72662594076246,
0.2,5,0.7,0.4,1,16267,-79505.80243637535,38.440749967936426,
0.3,1,0.6,0.4,0,17273,-82133.60202033947,35.68288253201172,
0.2,5,1.0,0.5,1,14154,-79219.032456917,36.27577205514535,
0.2,5,0.7,0.5,1,15129,-85529.47737637929,38.32430393761024,
0.2,5,1.0,0.4,0,21803,-79142.05197197909,36.583589295856655,
0.3,1,0.7,0.1,1,15416,-82367.76263085319,35.67569683678448,
0.3,1,0.6,0.3,1,22144,-83736.56510414954,36.06447370396927,
0.2,5,0.6,0.3,1,18094,-81711.05344636137,41.498659659177065,
0.3,1,0.6,0.1,1,18372,-78705.99721728025,36.56727786781266,
0.2,5,1.0,0.1,0,18518,-78608.84323070502,37.30645611183718,
0.3,1,0.7,0.2,0,14070,-80200.96191271734,35.6306132460013,
0.2,5,0.7,0.3,0,15137,-78487.69324441315,39.84949827613309,
0.3,1,0.6,0.4,1,17274,-79537.52548696223,36.710656717885286,
0.2,5,0.9,0.2,0,12716,-78457.99297688284,38.26516298716888,
0.3,1,0.7,0.2,1,14071,-80267.01708102184,36.410762128885835,
0.2,5,0.8,0.1,0,13360,-77322.4519809245,39.63055869238451,
0.2,2,0.9,0.2,0,18695,-80731.16915970892,77.86303740600124,
0.2,5,0.8,0.4,1,18262,-82536.30881102571,39.355027445126325,
0.3,1,0.7,0.5,1,13180,-84404.24461314766,36.02820051414892,
0.2,5,0.9,0.3,0,21578,-80566.94302110984,39.01580806169659,
0.3,1,0.6,0.2,0,15410,-80400.57224360258,37.926012366078794,
0.3,1,0.8,0.2,0,19240,-79470.26525042592,36.015103636309505,
0.2,5,1.0,0.2,0,13428,-78363.6572248183,38.81295686913654,
0.3,1,0.8,0.5,0,18349,-81664.30941159406,35.19581362511963,
0.2,4,1.0,0.1,1,12514,-73356.82114740835,45.158669117838144,
0.3,1,0.7,0.3,0,19187,-82266.2893666223,37.21808508085087,
0.2,5,1.0,0.2,1,13429,-77066.75482134565,38.98987725563347,
0.2,5,0.9,0.1,0,14631,-78744.36895147883,39.93708450905979,
0.3,1,0.7,0.1,0,15415,-80764.7404434453,37.93700931221247,
0.3,1,0.8,0.2,1,19241,-81476.70346630618,36.48158134985715,
0.2,5,0.9,0.2,1,12717,-73620.98068776839,39.78938641119748,
0.3,1,0.6,0.2,1,15411,-78726.27487400523,38.67037835577503,
0.3,1,0.6,0.5,1,16136,-81652.8827802669,38.35147079685703,
0.3,1,0.8,0.1,1,17411,-74920.4328617609,37.10489483177662,
0.2,5,1.0,0.1,1,18519,-74017.21876122619,39.899007987231016,
0.3,1,0.7,0.4,0,12445,-79436.22371674172,38.15003359178081,
0.2,5,0.9,0.4,0,12707,-76530.29900688157,40.493220136035234,
0.3,1,0.8,0.3,1,21183,-79535.23997072378,36.86912533408031,
0.3,1,0.8,0.4,1,14441,-83008.99458056391,36.92343159113079,
0.2,5,0.9,0.5,0,21569,-80793.21764461536,40.798211379908025,
0.3,1,0.8,0.3,0,21182,-80843.82243746478,37.56094752904028,
0.3,1,0.9,0.1,1,18682,-81432.84750715038,38.38035802403465,
0.2,5,1.0,0.3,1,15466,-72154.38545656852,42.548751870170236,
0.3,1,0.7,0.4,1,12446,-77739.01280797522,40.972684162668884,
0.3,1,0.9,0.2,1,18896,-73836.39957715165,38.43119809264317,
