crossover_proportion,crossover_edges,mutation_prob,elitism_proportion,repeat,seed,best_score,elapsed_sec,error
0.3,1,0.9,0.3,0,15628,-66973.24841270992,41.56409783195704,
0.3,1,0.6,0.2,1,15411,-68359.14255554546,45.42054217820987,
0.3,1,0.9,0.2,1,18896,-65260.13676745432,43.4888434917666,
0.3,1,0.9,0.5,0,19620,-65923.05845583249,43.64537668833509,
0.3,1,1.0,0.1,0,12568,-62547.03007268083,43.599023626651615,
0.3,1,0.8,0.2,1,19241,-67012.49241308996,47.83045641798526,
0.2,3,0.9,0.3,0,14521,-63840.17367268119,91.49669487215579,
0.3,1,1.0,0.3,1,16341,-64973.08486843596,43.74458579020575,
0.2,3,0.6,0.4,1,15976,-67528.5712964438,92.65021932311356,
0.3,2,0.6,0.4,1,16252,-66057.0203096222,41.06372696720064,
0.3,1,0.9,0.3,1,15629,-64769.7973563626,52.40008812490851,
0.3,1,1.0,0.2,1,12783,-64444.9671226579,52.897867898922414,
0.2,3,1.0,0.2,0,12883,-62677.58983961363,101.51182768912986,
0.3,1,0.7,0.2,0,14070,-67874.81817848972,59.41819369373843,
0.3,1,0.9,0.2,0,18895,-62271.071569978056,57.41146289790049,
0.3,1,0.9,0.5,1,19621,-65362.81888134175,56.85955597786233,
0.3,1,1.0,0.5,0,13507,-63892.7631206899,55.12835623975843,
0.3,2,0.6,0.3,0,19505,-66074.01628536399,53.12734437081963,
0.3,2,0.6,0.5,1,21369,-68913.34764268211,49.663560457061976,
0.3,2,0.6,0.3,1,19506,-63994.99085270209,54.17585017206147,
0.3,1,1.0,0.2,0,12782,-64423.214369548106,60.5441325949505,
0.3,2,0.6,0.2,1,14389,-65607.31236827119,56.53316898224875,
0.3,2,0.6,0.4,0,16251,-68175.60686838959,56.88271217793226,
0.3,2,0.7,0.1,0,21218,-62618.57215346652,53.153051778208464,
0.3,1,1.0,0.3,0,16340,-63141.17030371418,63.70457568904385,
0.3,2,0.6,0.2,0,14388,-69317.82293259577,60.07700100308284,
0.3,2,0.7,0.5,0,16540,-70292.84073640376,39.546326210256666,
0.3,1,1.0,0.1,1,12569,-63216.52560312909,65.9729706379585,
0.3,2,0.9,0.3,0,19815,-65812.06922150574,35.892889900598675,
0.3,2,0.8,0.1,1,16389,-64169.562748903874,38.84426291799173,
0.3,3,0.8,0.3,0,12590,-68331.39032484607,33.058091486338526,
0.3,2,0.7,0.5,1,16541,-68559.19417561612,39.84541033767164,
0.3,2,0.8,0.3,1,20161,-64379.42456537899,38.69791074376553,
0.3,1,1.0,0.4,1,21471,-65500.89593656819,65.84782071178779,
0.3,2,0.8,0.4,0,15290,-68050.00092143315,39.159695006906986,
0.3,2,0.6,0.1,0,15733,-62486.54362057071,64.28750436380506,
0.3,2,0.8,0.2,1,13428,-64969.1735294544,39.83955298690125,
0.3,2,0.8,0.2,0,13427,-68886.63093975418,40.31751930201426,
0.3,2,0.9,0.2,0,17873,-64941.60051189757,38.7731297230348,
0.3,3,0.7,0.4,1,21725,-68869.09128747752,35.50039568869397,
0.3,1,0.9,0.4,1,20759,-67786.50731345487,71.10269392514601,
0.3,2,0.6,0.1,1,15734,-63360.8804542992,64.83788907993585,
0.3,2,1.0,0.4,0,18832,-64732.63940471428,37.88228075020015,
0.3,2,0.8,0.5,0,18535,-67129.2871660242,40.23090136796236,
0.3,3,0.6,0.5,0,15414,-65500.987245056946,36.872197409160435,
0.3,3,0.6,0.5,1,15415,-71375.70038564384,37.286071352194995,
0.3,3,0.6,0.2,1,14690,-65698.5409791412,37.94047929998487,
0.3,3,0.6,0.3,0,15423,-69552.20302013497,38.063170415814966,
0.3,2,0.8,0.4,1,15291,-65379.50526863808,41.23928323481232,
0.3,2,0.9,0.3,1,19816,-65904.51894182683,40.806050397921354,
0.3,2,0.6,0.5,0,21368,-71139.8153099205,62.118901634123176,
0.3,2,0.9,0.5,1,21679,-65182.73250885995,39.98926000017673,
0.3,2,0.7,0.1,1,21219,-65955.2818718397,60.817638386040926,
0.3,2,1.0,0.3,0,13702,-64303.70400342066,39.82062230911106,
0.3,3,0.6,0.1,0,14353,-63151.53586279774,39.704522327985615,
0.3,2,0.8,0.5,1,18536,-67430.97923340501,42.181404734030366,
0.3,3,0.6,0.4,0,14680,-67319.18845467288,38.963385253213346,
0.3,2,0.9,0.2,1,17874,-63506.21717647101,41.879276908002794,
0.3,2,1.0,0.1,1,19931,-61380.351690281146,40.448388575110584,
0.3,2,0.9,0.4,1,16562,-66976.05949315979,41.485148799140006,
0.3,2,0.8,0.3,0,20160,-64816.663104188985,43.68243248621002,
0.3,2,1.0,0.2,1,18586,-64901.17900992334,40.864482186734676,
0.3,3,0.7,0.3,0,22211,-66343.97379125733,39.40844567399472,
0.3,3,0.7,0.2,1,13350,-63969.16060272807,39.68838622607291,
0.3,3,0.8,0.4,0,13719,-65621.0951717737,38.97545183589682,
0.3,4,0.6,0.1,1,20319,-68932.9338959119,36.54376032296568,
