crossover_proportion,crossover_edges,mutation_prob,elitism_proportion,mean,std,count
0.2,3,1.0,0.3,-120879.45935177992,508.91597739277967,2
0.3,2,0.9,0.3,-120887.15772337816,2707.176797082231,2
0.2,2,1.0,0.4,-120894.92825798012,1575.7921286846,2
0.3,4,0.6,0.2,-120923.96184370121,1242.3720883201222,2
0.6,4,1.0,0.1,-120939.6987594367,758.9818113596601,2
0.3,5,1.0,0.1,-120950.9426555773,994.9711325704944,2
0.4,5,0.9,0.2,-120982.38494169958,991.3918445990317,2
0.3,1,0.6,0.1,-120987.88970203254,4414.530123390717,2
0.5,3,0.7,0.3,-121030.61753984066,716.7990615265514,2
0.2,2,1.0,0.2,-121041.14113616181,828.1779298024093,2
0.2,1,0.6,0.2,-121051.22121317877,3809.820304118132,2
0.5,3,1.0,0.3,-121058.438238595,4330.129499653463,2
0.4,3,1.0,0.2,-121079.78774609658,401.99226819169104,2
0.2,3,1.0,0.1,-121106.67173279266,1395.6911900608447,2
0.5,5,0.9,0.1,-121110.94906308054,2879.4834501584537,2
0.6,3,1.0,0.2,-121123.88134868463,637.5394970215176,2
0.4,1,0.7,0.1,-121160.96406692074,3687.168508407657,2
0.6,5,0.8,0.1,-121171.80306632297,1397.1077852809947,2
0.6,4,0.9,0.4,-121183.91438956832,461.59573450716186,2
0.2,3,0.7,0.1,-121209.25748151963,1492.9854010165184,2
0.4,2,1.0,0.4,-121210.96099958746,166.26327252503052,2
0.5,5,1.0,0.1,-121229.72625005207,150.15235280815187,2
0.2,3,0.7,0.2,-121240.74307949343,3.0450325211178115,2
0.6,4,1.0,0.2,-121271.91297372367,1929.3803132755206,2
0.2,3,0.8,0.3,-121276.96265736694,1763.8997720720852,2
0.5,3,0.8,0.1,-121281.45644291575,1957.4273941344293,2
0.2,2,1.0,0.3,-121318.60160643386,621.928488357907,2
0.6,3,1.0,0.1,-121342.17697986096,1503.7228449617678,2
0.5,1,0.8,0.1,-121356.45059635924,1722.6398467725367,2
0.3,3,1.0,0.2,-121364.07069627383,4239.128429657063,2
0.6,5,1.0,0.4,-121371.69618566244,1178.2513374276386,2
0.2,4,0.6,0.2,-121377.11548669393,250.79423394680677,2
0.3,5,0.9,0.2,-121388.05729977654,1761.9305390711818,2
