crossover_proportion,crossover_edges,mutation_prob,elitism_proportion,mean,std,count
0.3,5,1.0,0.4,-78200.40621627375,61.80306316947086,2
0.3,3,0.7,0.1,-78202.60118026177,898.4896921766292,2
0.2,3,0.8,0.3,-78206.45453014369,2930.7338153312594,2
0.2,5,0.8,0.3,-78209.53349417684,1282.6723235548277,2
0.3,3,0.6,0.1,-78222.02080978882,5893.468034047232,2
0.2,2,0.9,0.1,-78229.89207279411,4005.363692646615,2
0.2,1,0.6,0.1,-78235.08668334137,3061.315603922565,2
0.3,4,0.8,0.2,-78255.52251832359,4658.608560420002,2
0.2,1,0.8,0.1,-78293.45435982927,116.29269064516873,2
0.6,1,0.8,0.2,-78301.31019951901,2870.9589029444546,2
0.4,4,1.0,0.2,-78305.15803531185,2279.1085436078165,2
0.2,2,0.8,0.4,-78305.49499080701,695.5873372528164,2
0.2,4,1.0,0.3,-78327.73893087202,142.32177405933788,2
0.3,3,0.9,0.2,-78334.96875511916,183.36708369492092,2
0.3,5,0.7,0.5,-78340.15389714958,1549.5486538426862,2
0.2,4,0.8,0.3,-78351.34048381257,3316.660060964757,2
0.4,4,0.9,0.1,-78353.90508583936,4851.923716568814,2
0.4,1,0.9,0.4,-78404.84607086814,1568.2102506198385,2
0.5,4,1.0,0.2,-78406.670174928,774.104312931864,2
0.3,2,0.6,0.3,-78424.37928728166,1267.2752223871028,2
0.4,1,0.8,0.2,-78445.9557785262,1243.8953981011325,2
0.4,1,0.7,0.4,-78450.7313170247,2022.4836217607076,2
0.4,1,0.9,0.2,-78466.74825605075,648.1740515691054,2
0.2,2,1.0,0.5,-78472.56598731657,1942.0165032086231,2
0.3,4,0.7,0.1,-78497.63059875695,768.5161807751081,2
0.2,1,0.7,0.3,-78506.21505876994,954.4343151982112,2
0.4,3,0.9,0.3,-78521.79062947357,2268.3153159308467,2
0.3,1,0.7,0.4,-78587.61826235848,1200.109342692581,2
0.2,3,0.8,0.2,-78599.82857672137,2732.355758441039,2
0.2,5,0.9,0.3,-78606.42439483992,2772.592030555981,2
0.3,1,1.0,0.5,-78628.2503320479,2107.231605677949,2
0.2,2,1.0,0.3,-78631.7323252083,289.6164506602399,2
0.5,4,0.7,0.3,-78640.89881777979,2323.0109474537703,2
0.5,3,0.8,0.2,-78668.49547452552,1097.7741319892855,2
0.6,1,0.8,0.1,-78687.90599321567,1378.3714492525849,2
0.6,2,0.7,0.2,-78757.18348026491,2180.365854591269,2
0.3,5,0.7,0.1,-78775.8575174548,60.94598940667578,2
0.2,2,0.6,0.2,-78791.30143375968,5826.780097860637,2
0.4,4,0.8,0.2,-78796.06554646467,1015.4626428273787,2
0.5,5,0.9,0.2,-78830.55876535564,3050.6709854052806,2
0.3,4,1.0,0.4,-78832.67642987934,627.7445789807772,2
0.2,2,0.6,0.3,-78834.44233179477,4929.8767769946735,2
0.6,3,1.0,0.2,-78844.54927686334,519.8921109870985,2
0.6,4,0.9,0.4,-78864.93255533547,2877.1044450422078,2
0.5,1,1.0,0.4,-78876.57697558448,2463.1419557949303,2
0.2,5,0.9,0.4,-78878.57385335217,3320.962136058318,2
0.4,5,0.7,0.3,-78896.37887467412,3162.864858211916,2
0.5,5,0.8,0.3,-78907.44427608656,2603.6847579193836,2
0.2,1,1.0,0.4,-78923.46825104246,1220.174269210352,2
0.3,4,0.7,0.2,-78930.15716062987,1410.7944298664684,2
0.3,4,0.9,0.1,-78935.88660324596,18.019854885044168,2
0.5,2,0.9,0.3,-78943.98847237718,753.870266696092,2
0.3,5,1.0,0.1,-78972.81523977098,1071.8320347295687,2
0.3,5,0.8,0.2,-78973.37837702624,1813.3093912525928,2
0.5,3,0.9,0.2,-78984.83526164765,120.2819418950302,2
