i,family,syn_cutoff,target_mi,pair_probs,num_vars
239,er,0.7,0.9509775004326936,0.7,30
240,ba,0.4,0.31699250014423125,0.4,10
241,ba,0.4,0.31699250014423125,0.5,10
242,ba,0.4,0.31699250014423125,0.6,10
243,ba,0.4,0.31699250014423125,0.7,10
244,ba,0.4,0.4754887502163468,0.4,10
245,ba,0.4,0.4754887502163468,0.5,10
246,ba,0.4,0.4754887502163468,0.6,10
247,ba,0.4,0.4754887502163468,0.7,10
248,ba,0.4,0.6339850002884625,0.4,10
249,ba,0.4,0.6339850002884625,0.5,10
250,ba,0.4,0.6339850002884625,0.6,10
251,ba,0.4,0.6339850002884625,0.7,10
252,ba,0.4,0.792481250360578,0.4,10
253,ba,0.4,0.792481250360578,0.5,10
254,ba,0.4,0.792481250360578,0.6,10
255,ba,0.4,0.792481250360578,0.7,10
256,ba,0.4,0.9509775004326936,0.4,10
257,ba,0.4,0.9509775004326936,0.5,10
258,ba,0.4,0.9509775004326936,0.6,10
259,ba,0.4,0.9509775004326936,0.7,10
260,ba,0.5,0.31699250014423125,0.4,10
261,ba,0.5,0.31699250014423125,0.5,10
262,ba,0.5,0.31699250014423125,0.6,10
263,ba,0.5,0.31699250014423125,0.7,10
264,ba,0.5,0.4754887502163468,0.4,10
265,ba,0.5,0.4754887502163468,0.5,10
266,ba,0.5,0.4754887502163468,0.6,10
267,ba,0.5,0.4754887502163468,0.7,10
268,ba,0.5,0.6339850002884625,0.4,10
269,ba,0.5,0.6339850002884625,0.5,10
270,ba,0.5,0.6339850002884625,0.6,10
271,ba,0.5,0.6339850002884625,0.7,10
272,ba,0.5,0.792481250360578,0.4,10
273,ba,0.5,0.792481250360578,0.5,10
274,ba,0.5,0.792481250360578,0.6,10
275,ba,0.5,0.792481250360578,0.7,10
276,ba,0.5,0.9509775004326936,0.4,10
277,ba,0.5,0.9509775004326936,0.5,10
278,ba,0.5,0.9509775004326936,0.6,10
279,ba,0.5,0.9509775004326936,0.7,10
280,ba,0.6,0.31699250014423125,0.4,10
281,ba,0.6,0.31699250014423125,0.5,10
282,ba,0.6,0.31699250014423125,0.6,10
283,ba,0.6,0.31699250014423125,0.7,10
284,ba,0.6,0.4754887502163468,0.4,10
285,ba,0.6,0.4754887502163468,0.5,10
286,ba,0.6,0.4754887502163468,0.6,10
287,ba,0.6,0.4754887502163468,0.7,10
288,ba,0.6,0.6339850002884625,0.4,10
289,ba,0.6,0.6339850002884625,0.5,10
290,ba,0.6,0.6339850002884625,0.6,10
291,ba,0.6,0.6339850002884625,0.7,10
292,ba,0.6,0.792481250360578,0.4,10
293,ba,0.6,0.792481250360578,0.5,10
294,ba,0.6,0.792481250360578,0.6,10
295,ba,0.6,0.792481250360578,0.7,10
296,ba,0.6,0.9509775004326936,0.4,10
297,ba,0.6,0.9509775004326936,0.5,10
298,ba,0.6,0.9509775004326936,0.6,10
299,ba,0.6,0.9509775004326936,0.7,10
300,ba,0.7,0.31699250014423125,0.4,10
301,ba,0.7,0.31699250014423125,0.5,10
302,ba,0.7,0.31699250014423125,0.6,10
303,ba,0.7,0.31699250014423125,0.7,10
304,ba,0.7,0.4754887502163468,0.4,10
305,ba,0.7,0.4754887502163468,0.5,10
306,ba,0.7,0.4754887502163468,0.6,10
307,ba,0.7,0.4754887502163468,0.7,10
