i,total_vars,dag_family,p_syn,p_noise,samples
298,20,ba,0.0,0.5,5000
299,20,ba,0.0,0.5,10000
300,20,ba,0.5,0.0,500
301,20,ba,0.5,0.0,1000
302,20,ba,0.5,0.0,2000
303,20,ba,0.5,0.0,5000
304,20,ba,0.5,0.0,10000
305,20,ba,0.5,0.1,500
306,20,ba,0.5,0.1,1000
307,20,ba,0.5,0.1,2000
308,20,ba,0.5,0.1,5000
309,20,ba,0.5,0.1,10000
310,20,ba,0.5,0.2,500
311,20,ba,0.5,0.2,1000
312,20,ba,0.5,0.2,2000
313,20,ba,0.5,0.2,5000
314,20,ba,0.5,0.2,10000
315,20,ba,0.5,0.3,500
316,20,ba,0.5,0.3,1000
317,20,ba,0.5,0.3,2000
318,20,ba,0.5,0.3,5000
319,20,ba,0.5,0.3,10000
320,20,ba,0.5,0.4,500
321,20,ba,0.5,0.4,1000
322,20,ba,0.5,0.4,2000
323,20,ba,0.5,0.4,5000
324,20,ba,0.5,0.4,10000
325,20,ba,0.5,0.5,500
326,20,ba,0.5,0.5,1000
327,20,ba,0.5,0.5,2000
328,20,ba,0.5,0.5,5000
329,20,ba,0.5,0.5,10000
330,20,ba,1.0,0.0,500
331,20,ba,1.0,0.0,1000
332,20,ba,1.0,0.0,2000
333,20,ba,1.0,0.0,5000
334,20,ba,1.0,0.0,10000
335,20,ba,1.0,0.1,500
336,20,ba,1.0,0.1,1000
337,20,ba,1.0,0.1,2000
338,20,ba,1.0,0.1,5000
339,20,ba,1.0,0.1,10000
340,20,ba,1.0,0.2,500
341,20,ba,1.0,0.2,1000
342,20,ba,1.0,0.2,2000
343,20,ba,1.0,0.2,5000
344,20,ba,1.0,0.2,10000
345,20,ba,1.0,0.3,500
346,20,ba,1.0,0.3,1000
347,20,ba,1.0,0.3,2000
348,20,ba,1.0,0.3,5000
349,20,ba,1.0,0.3,10000
350,20,ba,1.0,0.4,500
351,20,ba,1.0,0.4,1000
352,20,ba,1.0,0.4,2000
353,20,ba,1.0,0.4,5000
354,20,ba,1.0,0.4,10000
355,20,ba,1.0,0.5,500
356,20,ba,1.0,0.5,1000
357,20,ba,1.0,0.5,2000
358,20,ba,1.0,0.5,5000
359,20,ba,1.0,0.5,10000
360,20,er,0.0,0.0,500
361,20,er,0.0,0.0,1000
362,20,er,0.0,0.0,2000
363,20,er,0.0,0.0,5000
364,20,er,0.0,0.0,10000
365,20,er,0.0,0.1,500
366,20,er,0.0,0.1,1000
367,20,er,0.0,0.1,2000
368,20,er,0.0,0.1,5000
369,20,er,0.0,0.1,10000
370,20,er,0.0,0.2,500
371,20,er,0.0,0.2,1000
372,20,er,0.0,0.2,2000
373,20,er,0.0,0.2,5000
374,20,er,0.0,0.2,10000
375,20,er,0.0,0.3,500
376,20,er,0.0,0.3,1000
377,20,er,0.0,0.3,2000
378,20,er,0.0,0.3,5000
379,20,er,0.0,0.3,10000
380,20,er,0.0,0.4,500
381,20,er,0.0,0.4,1000
382,20,er,0.0,0.4,2000
383,20,er,0.0,0.4,5000
384,20,er,0.0,0.4,10000
385,20,er,0.0,0.5,500
386,20,er,0.0,0.5,1000
387,20,er,0.0,0.5,2000
388,20,er,0.0,0.5,5000
389,20,er,0.0,0.5,10000
390,20,er,0.5,0.0,500
391,20,er,0.5,0.0,1000
392,20,er,0.5,0.0,2000
393,20,er,0.5,0.0,5000
394,20,er,0.5,0.0,10000
395,20,er,0.5,0.1,500
396,20,er,0.5,0.1,1000
397,20,er,0.5,0.1,2000
398,20,er,0.5,0.1,5000
399,20,er,0.5,0.1,10000
400,20,er,0.5,0.2,500
401,20,er,0.5,0.2,1000
402,20,er,0.5,0.2,2000
403,20,er,0.5,0.2,5000
404,20,er,0.5,0.2,10000
405,20,er,0.5,0.3,500
406,20,er,0.5,0.3,1000
407,20,er,0.5,0.3,2000
408,20,er,0.5,0.3,5000
409,20,er,0.5,0.3,10000
410,20,er,0.5,0.4,500
411,20,er,0.5,0.4,1000
412,20,er,0.5,0.4,2000
413,20,er,0.5,0.4,5000
414,20,er,0.5,0.4,10000
415,20,er,0.5,0.5,500
416,20,er,0.5,0.5,1000
